frequency;MAG;PHA
100.0;0.0;-1.16393442622951
112.42100350620862;0.0;-2.6875
126.38482029342984;0.0;-3.0
142.08308325339223;0.0;-3.0
159.7312280060254;0.0;-3.0
179.5714494371641;0.0;-3.2
201.8760254679039;0.0;-4.0
226.95105366946683;0.0546099290780141;-4.0
255.14065200312874;0.0755555555555554;-6.0
286.83168133420116;0.0999999999999998;-6.00757575757576
322.45905452963945;0.0999999999999998;-7.0
362.51170499885353;0.0999999999999998;-7.0
407.5392965871778;0.0999999999999999;-9.0
458.1597669054491;0.133333333333333;-9.0
515.0678076168122;0.2;-10.0238095238095
579.0443980602489;0.2;-13.0
650.9675230458171;0.298159509202454;-14.9259259259259
731.8242219076174;0.299999999999999;-18.748427672956
822.7241341700474;0.299999999999999;-20.8312958435208
924.9147277217335;0.299999999999999;-25.7339449541284
1039.79841848149;0.200000000000002;-32.522041763341
1168.9518164985777;-0.100000000000001;-41.9287410926366
1314.1473626117568;-1.1;-52.7730496453901
1477.377652598511;-3.29999999999997;-66.0
1660.8827826277166;-7.59999999999994;-72.997555012225
1867.1810912919207;-13.8000000000001;-52.9810874704492
2099.1037201085546;-13.6000000000001;-3.46521739130435
2359.8334667821937;-10.1999999999999;11.3601789709172
2652.9484644318973;-8.09999999999996;13.0
2982.4712862168913;-6.90000000000005;13.0
3352.92414924956;-6.09999999999995;11.8646788990826
3769.3909753883636;-5.59999999999995;10.7165178571429
4237.587160604064;-5.2387951807229;9.8289156626506
4763.938010401341;-5.0;8.99501246882793
5355.666917706896;-4.79999999999998;7.0
6020.894493336132;-4.6265664160401;6.98997493734336
6768.750009458535;-4.5;6.0
7609.496685459883;-4.4980198019802;5.88337468982631
8554.672535565684;-4.40000000000002;5.65686274509804
9617.248711152964;-4.30025252525249;4.0
10811.807510766077;-4.29999999999998;3.88148148148148
12154.742500762884;-4.29999999999998;3.40446650124069
13664.483492953244;-4.21360201511337;3.0479797979798
15361.749466718296;-4.20000000000002;3.04282115869018
17269.83290659436;-4.20000000000002;3.00511508951407
19414.919457438817;-4.20000000000002;2.82642487046632
21826.44728397487;-4.20000000000002;2.20579710144928
24537.51106639817;-4.20000000000002;2.78347578347578
27585.316176291868;-4.20000000000002;2.78796561604585
31011.689265747755;-4.19971098265899;2.90144927536232
34863.65227678088;-4.19883720930235;2.16618075801749
39194.06774847221;-4.19504373177844;1.92128279883382
44062.36427773573;-4.15597667638485;2.5801749271137
49535.352089591805;-4.12617647058823;2.10294117647059
55688.13990945267;-4.10674486803518;2.68529411764706
62605.16572014828;-4.10029498525072;2.30383480825959
70381.35554931562;-4.09999999999998;2.94311377245509
79123.42618981327;-4.09999999999998;3.0
88951.34973108236;-4.09999999999998;3.02180685358256
100000.0;-4.09999999999998;3.26479750778816
